			Symbol				Name				Sector				industry	
{	Symbol	":"""	APD	"""xqxq"	Name	":"""	"Air Products and Chemicals, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	ALB	"""xqxq"	Name	":"""	Albemarle Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	AXLL	"""xqxq"	Name	":"""	Axiall Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	BAK	"""xqxq"	Name	":"""	Braskem S.A.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	CBT	"""xqxq"	Name	":"""	Cabot Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	CCC	"""xqxq"	Name	":"""	Calgon Carbon Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	CE	"""xqxq"	Name	":"""	Celanese Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	CHMT	"""xqxq"	Name	":"""	Chemtura Corp.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	CYT	"""xqxq"	Name	":"""	Cytec Industries Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	DOW	"""xqxq"	Name	":"""	Dow Chemical Company (The)	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	DD	"""xqxq"	Name	":"""	E.I. du Pont de Nemours and Company	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
